timestamp,energy_consumption_kwh,water_usage_liters,occupancy_rate_percent,building_size_m2,indoor_temperature_degc,hvac_consumption_kwh,lighting_consumption_kwh,carbon_emission_rate_g_co2_per_kwh,total_energy_load,energy_per_occupant,water_per_occupant,comfort_deviation,energy_consumption_kwh_norm,water_usage_liters_norm,carbon_emission_rate_g_co2_per_kwh_norm,sustainability_score,day_of_week,is_weekend,month
2018-01-01,34208.410056101835,69744.19826918478,56.25116571851451,1129.264855154103,22.81562327254074,16.037740480155858,11.219057842555165,418.7769458958961,27.25679832271102,597.5146466762535,1218.2144659218727,0.8156232725407406,0.041664307691711,0.9656001926851115,0.94717532392954,0.4095016219389201,0,0,1
2018-01-02,31279.81568404746,61967.90327643364,55.39810684546141,1186.4256541864563,22.425302727639,16.183160490867547,11.256218136367462,442.1212951614371,27.43937862723501,554.6252779327942,1098.758570854767,0.425302727639,0.0,0.8167101740859286,1.0,0.4549869477742215,1,0,1
2018-01-03,34829.28521927418,69692.82908547414,57.159162704654165,1095.172506889188,22.71216052107464,16.295735486933015,10.915149065390668,425.1408962479636,27.210884552323684,598.8615310049328,1198.3121118746262,0.7121605210746402,0.0504973280933747,0.9646166447711976,0.961575965903,0.4019432855603909,2,0,1
2018-01-04,33066.59252214073,65892.44262235724,54.82856777667685,1135.0154327951343,22.491214532103434,16.11413742386931,11.253386231918167,430.1470921249848,27.36752365578748,592.288031719036,1180.263890808331,0.4912145321034344,0.0254199832756348,0.8918519654856225,0.9729042180868924,0.4304051516179915,3,0,1
2018-01-05,33414.03713464065,68573.68031099079,55.31394066364377,1145.8195702370033,22.95394805464756,16.48853737609312,11.304177286561067,437.0365134459141,27.792714662654188,593.3528490612755,1217.7034585551903,0.9539480546475616,0.0303629823400184,0.943188691998906,0.988493920136468,0.4083500234233805,4,0,1
2018-01-06,33315.40724226921,65654.5883582884,56.58377374082344,1125.2883956784,22.95706066489893,15.70828174654754,11.112886595053844,430.0631569047698,26.821168341601386,578.5554693274746,1140.1577926064826,0.957060664898929,0.0289598019533536,0.8872978525264155,0.9727142855782444,0.4304124377872605,5,1,1
2018-01-07,33941.1371419151,68428.25126422195,57.553248498259606,1135.7918784184924,22.53445025193029,16.48905578198113,11.1560032342758,430.4551033109415,27.64505901625693,579.6627516392014,1168.6499557109264,0.5344502519302914,0.0378618893573055,0.9404042125651322,0.9736012000819424,0.4106536204629554,6,1,1
2018-01-08,34225.62817391273,70019.6904675501,54.49932265377716,1149.7310038995654,22.848055743772445,15.689007216289996,11.276735023820194,419.6224775867181,26.96574224011019,616.6855114146769,1261.6314419611158,0.848055743772445,0.0419092651242564,0.970874946096187,0.9490886322495502,0.4072472204465763,0,0,1
2018-01-09,31671.261161460538,65141.70536987662,55.09813536264672,1143.4386363921997,22.67859360321821,16.23676998577743,11.118384452859155,435.1593174802027,27.355154438636585,564.5688748248313,1161.209814707168,0.6785936032182107,0.0055689872831471,0.8774778601322204,0.9842461140536548,0.4392552128309785,1,0,1
2018-01-10,33253.42074610785,71540.84690883938,57.294673598531006,1168.5108087218389,22.98735070646584,16.23038361239191,11.182248034939755,441.1792312313692,27.412631647331665,570.436691611321,1227.22784934921,0.9873507064658398,0.0280779370991961,1.0,0.9978682540525146,0.3894083489445672,2,0,1
